received_date,effective_date,type,affected,employer,city,county,notification,source_year
5/5/2020,3/15/2020,Layoff,2036,Excalibur Hotel & Casino,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,13,"Destron, Inc.",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,121,"Park District Holdings, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,230,MGM Resorts International,Las Vegas,Clark,,2020
5/7/2020,3/20/2020,Layoff,63,Springhill Suites Las Vegas,Las Vegas,Clark,,2020
5/7/2020,5/8/2020,Layoff,169,Cashman Photo,Las Vegas,Clark,,2020
5/8/2020,5/17/2020,Layoff,117,Cox Automotive,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,82,"MGM Resorts Int. Operations, Inc.",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,19,"Vdara Condo Hotel, LLC",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,10,The Signature,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,1,Shadow Creek Club,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,108,"Mandalay Bay, LLC",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,58,Park MGM Las Vegas,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,23,New York-New York Hotel & Casino,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,127,Mirage Casino-Hotel,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,1,MGM Resorts International,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,1,"MGM Resorts Satellite, LLC",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,149,ARIA Resort & Casino,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,116,Bellagio Hotel & Casino,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,49,Excalibur Hotel & Casino,Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,5,"Las Vegas Arena Management, LLC",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,1,"Mandalay Place, Inc.",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,133,"MGM Grand Hotel, LLC",Las Vegas,Clark,,2020
5/11/2020,8/31/2020,Layoff,53,Luxor Hotel & Casino,Las Vegas,Clark,,2020
5/13/2020,4/13/2020,Layoff,2,Glidewell - LV Digital Dental Solutions,Las Vegas,Clark,,2020
5/13/2020,4/13/2020,Layoff,1,"Glidewell - Crown World, Inc.",Las Vegas,Clark,,2020
5/14/2020,5/18/2020,Layoff,145,"Russell Road Food and Beverage, LLC",Las Vegas,Clark,,2020
5/14/2020,4/13/2020,Layoff,586,"Silverton Casino, LLC",Las Vegas,Clark,,2020
