received,employer,city,region,layoff_dates,employees
2024-01-19,"Wayfair, LLC",Boston,Boston,"On 3/19/2024, or the 14-day period beginning on that date.",936
2024-01-18,Essendant Company,Woburn,Boston,"3/15/2024, 7/1/2024",82
2024-01-13,"Lost Boys Interactive, LLC",MA,Remote/National,2024-03-15,4
2024-01-09,"Graphic Packaging International, LLC",Lowell,Northeast,3/12/2024 - 3/26/2024,71
2024-01-06,"B.L. Collective (Sportello, Menton and Drink)",Boston,Boston,2024-01-05,100
2023-12-15,"JBI Industries, LLC",Chicopee,West,Beginning 2/5/24 and ending 4/12/2024,39
2023-12-12,New England Sainai Hospital,Stoughton,Southeast,2024-02-02,100
2023-12-05,MassBiologics of the UMass Chan Medical School,Mattapan,Boston,2024-02-03,36
2023-11-29,Generation Bio Co.,Cambridge,Boston,1/28/24; 2/29/24; 3/29/24; 4/27/24,66
2023-11-27,Broadcom - VMware,Boston,Boston,2024-01-26,150
2023-11-17,Univerisity of MA Chan Medical School,Worcester,Central,2024-01-21,70
2023-11-02,"Omnicare, Inc.",Peabody,Northeast,2024-01-07,53
2023-11-01,"Seres Therapeutics, Inc.",Cambridge,Boston,T/B/D,50
2023-11-01,"Seres Therapeutics, Inc.",Waltham,Metro Southwest,T/B/D,112
2023-11-01,"Maximus, Inc.",Quincy,Southeast,2023-12-31,75
2023-10-26,CVS Health,Wellesley,Metro Southwest,2023-12-30,1
2023-10-25,"Cygnus Home Service, LLC d/b/a Yelloh",Westfield,West,2023-12-15,4
2023-09-29,First Savings Bank,MA,Remote/National,2023-11-30,1
2023-09-15,"Ambri, Inc.",Marlborough,Metro Southwest,2023-11-13,89
2023-09-15,"Thriveworks Adminstrative Services, LLC",MA,Remote/National,2023-11-30,74
2023-09-13,"2seventy bio, Inc.",Cambridge,Boston,2023-11-17,145
2023-09-11,"Sage Therapeutics, Inc.",Cambridge,Boston,2023-09-08,95
2023-09-07,"Divvy Homes, Inc.",MA,Remote/National,2023-11-07,3
2023-08-31,"Matheson Flight Extenders, Inc.",Chicopee,West,2023-10-30,305
2023-08-30,"Apellis Pharmaceuticals, Inc.",Waltham,Boston,2023-10-30,175
2023-08-23,"Web Industries, Inc.",Holliston,Metro Southwest,10/19/2023 - 12/31/2023,68
2023-08-18,CVS Health,Boston,Boston,2023-10-21,76
2023-08-18,CVS Health,Wellesley,Metro Southwest,2023-10-21,64
2023-08-18,"ImmunityBio, Inc.",MA,Remote/National,2023-10-17,2
2023-08-15,"WayForth, LLC",Boston,Boston,2023-08-18,30
2023-08-15,"WayForth, LLC",Canton,Metro Southwest,2023-08-18,t/b/d
2023-08-09,"Tufts Medical Center, Inc.",Boston,Boston,10/8/2023-10/22/2023,242
2023-08-09,Lowell General Hospital,Lowell,Northeast,10/8/2023-10/22/2023,251
2023-08-09,MelroseWakefield Hospital,Melrose,Northeast,10/8/2023-10/22/2023,81
2023-08-08,"Emergent Biosolutions, Inc.",Canton,Metro Southwest,10/7/23-12/7/23,86
2023-08-01,"*Updated* Trulieve, Inc.",Holyoke,West,7/31/2023 - 10/13/2023,90
2023-07-27,"Mersana Therapeutics, Inc.",Cambridge,Boston,2023-08-15,124
2023-07-17,"G2 Secure Staff, LLC",Boston,Boston,2023-09-13,67
2023-04-05,"Casa Systems, Inc., CAD Business",Andover,Northeast,2024-06-03,6
2025-06-26,"Sage Therapeutics, Inc.",Cambridge,Boston,2025-08-22,338
2025-06-25,Unistress Corp. & Berkshire Concrete Corp.,Pittsfield,West,7/7/2025 - 8/25/2025,233
2025-06-25,First Wave Logistics LLC,Bridgewater,Southeast,6/17/2025 - 7/15/2025,72
2025-06-11,ImmunityBio. Inc.,Woburn,Boston,7/29/2025 - 8/12/2025,3
2025-05-28,"Feeney Brothers Excavation, LLC",Worcester,Central,4/15/2025 - 5/16/2025,76
2025-05-28,"Vor Biopharma, Inc.",Cambridge,Boston,5/8/2025 - 7/15/2025,155
2025-05-23,Brightcove Inc. (Updated),Boston,Boston,5/23/2025 - 8/31/2025,1 additonal
2025-05-20,"Factory Motor Parts (""FMP"")",Avon,Metro Southwest,2025-05-23,67
2025-05-19,Berkeley Retirement Home,Lawrence,Northeast,2025-08-31,43
2025-05-15,GMRI Inc. d/b/a Bahama Breeze,Tyngsborough,Northeast,2025-05-15,73
2025-05-12,"Feeney Brothers Excavation, LLC (Updated)",Boston,Boston,2025-05-02,15
2025-05-12,Rockland Trust Company,Lowell Three (3) locations,Northeast,7/1/2025 - 12/31/2025,125
2025-05-06,Lockheed Martin Missiles and Fire Control,Andover,Northeast,2025-07-05,64
2025-05-05,"Feeney Brothers Excavation, LLC (Updated)",Lawrence,Northeast,2025-05-02,4
2025-05-02,"Making Opportunities Count, Inc.",Ayer,Central,2025-06-30,11
2025-05-02,"Making Opportunities Count, Inc.",Auburn,Central,2025-06-30,8
2025-05-02,"Making Opportunities Count, Inc.",Milford,Central,2025-06-30,6
2025-05-02,"Making Opportunities Count, Inc.",Concord,Metro Southwest,2025-06-30,11
2025-04-30,"Feeney Brothers Excavation, LLC",Boston,Boston,4/25/2025 - 7/31/2025,20
2025-04-29,Symbotic LLC,Andover,Northeast,2025-06-27,400
2025-04-28,Bard College at Simon's Rock,Great Barrington,West,6/30/2025 - 12/31/2025,116
2025-04-23,SambaNova,Massachusetts,Remote,2025-04-22,2
2025-04-22,"Ono Pharma USA, Inc.(the""Company"" or ""OPUS"")",Cambridge,Boston,2025-06-30,83
2025-04-21,"WeDriveU DBA Kiessling Transit, Inc.",Framingham,Metro Southwest,2025-06-30,7
2025-04-17,"Brockton Neighborhood Health Center, Inc. (BNHC)",Brockton,Southeast,2025-04-16,65
2025-04-16,"Feeney Brothers Excavation, LLC",Lawrence,Northeast,4/25/2025 - 7/31/2025,30
2025-04-16,"Mural Oncology, Inc.",Waltham,Metro Southwest,6/14/2025 - 11/1/2025,117
2025-04-11,"Polyfoam, LLC (d.b.a., Altor Solutions)",Northbridge,Central,2025-06-09,83
2025-04-09,"WeDriveU DBA Kiessling Transit, Inc.",Framingham,Metro Southwest,2025-06-30,124
2025-04-04,"Making Opportunities Count, Inc.",Watertown,Metro Southwest,2025-06-30,8
2025-04-04,"Making Opportunities Count, Inc.",Gardner,Central,2025-06-30,10
2025-04-02,"American Institutes of Research (""AIR"")",Waltham,Metro Southwest,2025-06-01,9
2025-04-01,Federal Express Corporation’s ORHA location,West Boylston,Central,2025-06-02,78
2025-03-27,Ariston Group LLC,East Freetown,Southeast,6/1/2025 - 12/31/2025,73
2025-03-26,Charter Communications,Worcester,Central,2025-06-26,174
2025-03-25,Block Inc.,Remote/MA,Remote,2025-05-24,5
2025-03-20,Summit Delivery Solutions LLC,East Taunton,Southeast,2025-03-31,101
2025-03-11,"American Institute of Research (""AIR"")",Waltham,Metro Southwest,2025-05-09,12
2025-03-10,Brightcove Inc.,Boston,Boston,3/10/2025 - 7/31/2025,65
2025-03-10,"G2 Secure Staff, LLC (Supplemental)",Boston,Boston,2025-05-09,70
2025-03-07,"RWE Offshore Wind Services, LLC",Boston,Boston,2025-05-06,73
2025-03-03,Synventive Molding Solutions,Peabody,Northeast,4/25/2025 - 8/31/2025,40
2025-02-28,CVS Health,Wellesley,Metro Southwest,2025-05-03,"3 (residents), 180 (out of state remote reporting to Wellesley Office)"
2025-02-28,"Making Opportunities Count, Inc.",Westminster,Central,2025-04-30,10
2025-02-28,"Making Opportunities Count, Inc.",Acton,Central,2025-04-30,10
2025-02-25,"Kovalus Separation Solutions, LLC",Boston,Boston,4/30/2025 - 6/30/2025,100
2025-02-14,"G2 Secure Staff, LLC",Boston,Boston,2025-04-16,528
2025-02-12,"Kennametal, Inc.",Greenfield,West,2025-04-15,54
2025-01-31,Thermo Fisher Scientific - two (2) locations,Cambridge,Boston,2025-03-30,300 (total locations)
2025-01-31,Thermo Fisher Scientific - two (2) locations,Plainville,Metro Southwest,2025-03-30,
2025-01-30,"Connecticut Pie, LLC DBA Diana's Bakery (two) 2 locations",Agawam,West,2025-03-31,229
2025-01-29,Immunity Bio. Inc.,Burlington,Remote,2025-03-25,min. 1 - max. 10
2025-01-29,Pharma Cann,Holliston,Southeast,2025-03-31,19
2025-01-28,"The Newark Group, Inc.",Fitchburg,West,6/30/2025 - 7/15/2025,71
2025-01-28,DHL Supply Chain,Taunton,Southeast,2025-08-08,52
2025-01-14,"Edaron, LLC (""Holyoke facility"")",Holyoke,West,2025-06-30,53
2025-01-14,"Edaron, LLC (""South Hadley facility"")",South Hadley,West,3/31/12025,24
2025-01-07,Nordstrom North Shore,Peabody,Northeast,2025-03-08,134
2025-01-07,Nordstrom South Shore Plaza,Braintree,Southeast,2025-03-08,166
2024-12-19,"Boston Center for Recovery, LLC dba Psyclarity Health MA",Saugus,Northeast,2024-12-20,40
2024-12-19,"PPC Event Services, Inc. (dba PEAK Event Services) (""PEAK"")",Stoughton,Southeast,2025-02-28,89
2024-12-18,"Cytiva Global Life Sciences Solutions USA, LLC",Westborough,Central,3/7/2025; 3/14/2025; 3/31/2025; remaining - later date,85
2024-12-04,"Kohl's, Inc.",Stoughton,Southeast,2025-02-07,77
2024-11-26,Embecta Corportation,Andover,Northeast,2/3/2025 - 8/1/2025,
2024-11-07,Thermo Fisher Scientific,Lexington,Metro Southwest,1/6/2025 - 11/6/2026,160 (total locations)
2024-11-07,Thermo Fisher Scientific,Planville,Metro Southwest,1/6/2025 - 11/6/2026,
2024-11-07,Thermo Fisher Scientific,Cambridge,Boston,1/6/2025 - 11/6/2026,
2024-11-04,"Trilogy Management Services, LLC",Braintree,Southeast,2024-12-31,107 (total locations)
2024-11-04,"Trilogy Management Services, LLC",Quincy,Southeast,2024-12-31,
2024-11-04,"Trilogy Management Services, LLC",Duxbury,Southeast,2024-12-31,
2024-11-04,"Trilogy Management Services, LLC",Hingham,Southeast,2024-12-31,
2024-11-04,"Trilogy Management Services, LLC",Brighton,Boston,2024-12-31,
2024-11-04,"Trilogy Management Services, LLC",Dorchester,Boston,2024-12-31,
2024-10-31,"Sage Therapeutics, Inc.",Cambridge,Boston,2024-10-31,69
2024-10-30,"Plaskolite Massachusetts, LLC",Sheffield,West,Spring 2025 - Spring 2026,90
2024-10-22,"Ocular Therapeutix, Inc.",Bedford,Metro Southwest,2024-06-03,3
