Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"818 55th St  Brooklyn, NY, 11220",Kings,Closure,Permanent,Sale of Business,6,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"833 58th St  Brooklyn, NY, 11220",Kings,Closure,Permanent,Sale of Business,7,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"1108 Brooke Ave  Bronx, NY, 10456",Bronx,Closure,Permanent,Sale of Business,2,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"4626 White Plains Rd. Suite 100 Bronx, NY, 10470",Bronx,Closure,Permanent,Sale of Business,3,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"4902 3rd Ave  Brooklyn, NY, 11220",Kings,Closure,Permanent,Sale of Business,8,6,6
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"Remote Employees  New York, NY, 11230",Kings,Closure,Permanent,Sale of Business,9,23,23
"Emursive Productions, LLC.",2025-04-20,2025-04-20,2025-05-30,"2109 Broadway Suite 13-126 New York, NY, 10023",New York,Closure,Permanent,Economic,58,8,8
"enDevelopment Logistics, LLC.",2026-01-15,2025-10-15,2025-11-14,"500 Hudson Valley Avenue  New Windsor, NY, 12553",Orange,Closure,Permanent,Contract Termination,9,42,42
Enthuse LLC,2026-03-10,2025-12-10,2026-04-08,"31 Hudson Yards, Fl. 11 Remote employees New York, NY, 10001",New York,Closure,Permanent,Contract Termination,1,25,25
"Equiniti Trust Company, LLC",2025-11-14,2025-08-08,2025-10-17,"28 Liberty Street 53rd floor New York, NY, 10005",New York,Layoff,Permanent,Other,16,4,4
"Equiniti Trust Company, LLC",2025-11-14,2025-08-08,2025-10-17,"850 Third Avenue  Brooklyn, NY, 11232",Kings,Layoff,Permanent,Other,14,10,10
