company,city,industry,layoff_start,warn_act,warn_received,layoff_type,layoff_status,affected_workers,period,source_file
The Treasury,St Paul,Arts/Entertainment/Rec,8/16/2023,NO,,Closing,Aversion/Retention,35,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Mazopiya,Prior Lake,Government,8/16/2023,NO,,Closing,Aversion/Retention,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Nashville Coop - Rochester,Rochester,Dining Establishments,8/17/2023,NO,,Closing,Small Layoff Services,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Outback Steakhouse - Burnsville,Burnsville,Dining Establishments,8/16/2023,NO,,Closing,Small Layoff Services,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Midwest Mountaineering 2023,Minneapolis,Retail,10/1/2023,NO,,Closing,Small Layoff Services,40,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
La Terraza Mankato,Mankato,Dining Establishments,9/1/2023,NO,-,Closing,Aversion/Retention,1,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
Soul Bowl Richfield,Richfield,Dining Establishments,9/19/2023,NO,-,Closing,Small Layoff Services,1,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
KPFG 2023,Foley,Manufacturing,11/30/2023,YES,9/26/2023,Closing,Rapid Response in Progress,62,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
Hub Bike Co-op.,Minneapolis,Retail,9/1/2023,NO,-,Closing,Aversion/Retention,10,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
Dangerous Man Brewing,Minneapolis,Manufacturing,9/8/2023,NO,-,Closing,Small Layoff Services,28,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
MercyOne Clinic-Albert Lea,Albert Lea,Health Care/Social Assist,TBD,NO,-,Closing,Aversion/Retention,TBD,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
TJ Maxx,St Paul,Retail,9/18/2023,NO,-,Closing,Small Layoff Services,75,2023-09,plant-closing-mass-layoff-warn-september-2023_tcm1045-594073.pdf
Best Wishes Floral 2023,Golden Valley,Agriculture,10/1/23,NO,-,Closing,Small Layoff Services,3,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Community Memorial Hospital,Cloquet,Health Care/Social,Assist 11/1/23,NO,-,Closing,Rapid Response in Progress,30,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Shakopee House 2023,Shakopee,Dining Establishments,9/1/23,NO,-,Closing,Small Layoff Services,1,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Dairy Queen - DT Mpls,Minneapolis,Dining Establishments,10/1/23,NO,-,Closing,Small Layoff Services,1,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Red Sauce Rebellion 2023,Excelsior,Dining Establishments,9/1/23,NO,-,Closing,Small Layoff Services,18,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Northern Engraving Corp,Spring Grove,Manufacturing,12/1/23,NO,10/6/23,Closing,Rapid Response in Progress,75,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Fire & Nice Alehouse 2023,Minneapolis,Dining Establishments,9/1/23,NO,-,Closing,Small Layoff Services,16,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Camping World,Hermantown,Retail,10/20/23,NO,-,Closing,Small Layoff Services,30,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Yelloh 2023,Marshall,Manufacturing,12/26/23,YES,10/25/23,Workforce Reduction,Rapid Response in Progress,35,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
"Campiello, Eden Prairie",Eden Prairie,Dining Establishments,10/23/23,NO,-,Closing,Small Layoff Services,40,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Mayo Clinic Le Sueur 2023,Le Sueur,Health Care/Social,Assist 12/12/23,NO,-,Closing,Aversion/Retention,0,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Creators Space 2023,St Paul,Retail,9/1/23,NO,-,Closing,Small Layoff Services,1,2023-10,plant-closing-mass-layoff-warn-october-2023_tcm1045-598556.pdf
Caribou Coffee - 68 Snelling Ave S,St Paul,Dining Establishments,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Stalk & Spade (Wayzata) 2023,Wayzata,Dining Establishments,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Stalk & Spade (Edina) 2023,Edina,Dining Establishments,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Nana Gogo Toybrary 2023,Rochester,Education,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Advance Corporation,Cottage Grove,Manufacturing,11/30/2023,NO,-,Closing,Small Layoff Services,42,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
D'Amico & Sons -Roseville 2023,Roseville,Dining Establishments,10/1/2023,NO,-,Closing,Small Layoff Services,20,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Clutch Brewing Company,St Paul,Other Services,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Caribou Coffee - Edina 2023,Minneapolis,Dining Establishments,11/8/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Papa Murphy’s - Owatonna 2023,Owatonna,Dining Establishments,10/20/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Stalk & Spade - (North Loop) 2023,Minneapolis,Dining Establishments,11/1/2023,NO,-,Closing,Small Layoff Services,1,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Elevance Health 2023,Mendota Heights,Finance & Insurance,12/29/2023,YES,11/3,Workforce Reduction,Rapid Response in Progress,57,2023-11,plant-closing-mass-layoff-warn-november-2023_tcm1045-602504.pdf
Petco in Mankato 2023,Mankato,Retail,12/1/2023,NO,NO,Closing,Small Layoff Services,13,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Zumbro Cafe 2023,Minneapolis,Dining Establishments,12/1/2023,NO,NO,Closing,Small Layoff Services,1,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Pottery Barn in St Paul 2023,St Paul,Retail,12/1/2023,NO,NO,Closing,Small Layoff Services,1,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Riteway Conveyors Inc,Lester Prairie,Manufacturing,11/20/2023,NO,NO,Closing,Small Layoff Services,16,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Lakes & Legends 2023,Minneapolis,Dining Establishments,12/1/2023,NO,NO,Closing,Small Layoff Services,24,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Smile Direct Club 2023,Minnetonka,Health Care/Social Assist,12/1/2023,NO,NO,Closing,Small Layoff Services,1,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Lava Burgers and Wings,Owatonna,Dining Establishments,11/1/2023,NO,NO,Closing,Small Layoff Services,1,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Tulips & Truffles Florist 2023,Rochester,Other Services,12/1/2023,NO,NO,Closing,Small Layoff Services,1,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Curly Girl Boutique 2023,Minneapolis,Retail,12/1/2023,NO,NO,Closing,Small Layoff Services,3,2023-12,plant-closing-mass-layoff-warn-report-december2023_tcm1045-605571.pdf
Sherco Unit 2,Becker,Utilities,12/31/2023,NO,-,Closing,Aversion/Retention,0,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Cabin Coffee Co.,St Charles,Other Services,12/1/2024,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Cardinal Corner Inc,West St Paul,Retail,12/31/2023,NO,-,Closing,Aversion/Retention,11,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
"Lost Boys Interactive, LLC",Madison,Arts/Entertainment/Rec,3/15/2024,YES,1/16/2024,Workforce Reduction,Small Layoff Services,3,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Crookston Inn,Crookston,Accommodation,12/31/2023,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
NorthStar Orthodontics -,Park Rapids,Manufacturing,12/31/2023,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Roasted Bliss,Rochester,Dining Establishments,1/1/2024,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Warrior Brewing Company,Duluth,Dining Establishments,1/18/2024,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
New London Cafe,Duluth,Dining Establishments,1/18/2024,NO,-,Closing,Small Layoff Services,4,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Caribou Coffee Grand 1,St Paul,Dining Establishments,1/1/2024,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Boardwalk Bar & Grill,East Grand Forks,Dining Establishments,1/1/2023,NO,-,Closing,Small Layoff Services,11,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Essentia Health Fosston Delivery Services,Fosston,Health Care/Social Assist,1/31/2024,NO,-,Closing,Aversion/Retention,-,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Salut Bar,Edina,Dining Establishments,1/8/2024,NO,-,Closing,Small Layoff Services,20,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
"First Draft MN, LLC.",Minneapolis,Dining Establishments,1/1/2024,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Applebee's,Baxter,Dining Establishments,12/31/2023,NO,-,Closing,Small Layoff Services,1,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
JJ Legacy School,Minneapolis,Education,1/12/2024,NO,-,Closing,Small Layoff Services,25,2024-01,plant-closing-mass-layoff-warn-january-2024_tcm1045-608776.pdf
Oxendale's Market,Bloomington,Retail,2/1/2024,NO,-,Closing,Small Layoff Services,16,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
US Bank Branch Blooming Prairie,Minneapolis,Finance & Insurance,5/1/2024,NO,-,Closing,Small Layoff Services,5,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Coopers Chaska 2024,Chaska,Retail,3/2/2024,NO,-,Closing,Small Layoff Services,25,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Mac's Bar and Grill,Mountain Iron,Dining Establishments,1/1/2024,NO,-,Closing,Small Layoff Services,1,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Black Coffee and Waffle Bar,Minneapolis,Dining Establishments,2/15/2024,NO,-,Closing,Small Layoff Services,25,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Dakota Junction 2024,Mound,Dining Establishments,2/1/2024,NO,-,Closing,Small Layoff Services,1,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Loons Landing Brewery 2024,Savage,Other Services,2/1/2024,NO,-,Closing,Small Layoff Services,4,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Vanilla Bean in Duluth 2024,Duluth,Dining Establishments,2/1/2024,NO,-,Closing,Small Layoff Services,4,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Old Log Theatre 2024,Greenwood,Arts/Entertainment/Rec,2/20/2024,NO,-,Closing,Small Layoff Services,3,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Apoy 2024,Minneapolis,Dining Establishments,2/27/2024,NO,-,Closing,Small Layoff Services,20,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Tattersall Distilling 2024,Minneapolis,Manufacturing,2/26/2024,NO,-,Closing,Small Layoff Services,50,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
The Cowles Center,Minneapolis,Arts/Entertainment/Rec,2/1/2024,NO,-,Closing,Small Layoff Services,22,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
US Bank Branch Moorhead 2024,Minneapolis,Finance & Insurance,5/1/2024,NO,-,Closing,Small Layoff Services,8,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
St Catherine University ELC,St Paul,Education,2/20/2024,NO,-,Closing,Small Layoff Services,6,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Pannekoeken Huis - St. Louis Park,Plymouth,Dining Establishments,2/1/2024,NO,-,Closing,Small Layoff Services,7,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
River's Edge Hospital Child Center,St Peter,Health Care/Social Assist,2/1/2024,NO,-,Closing,Small Layoff Services,1,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Paper Source Inc - Minneapolis,Minneapolis,Admin & Support Services,2/28/2024,NO,-,Closing,Small Layoff Services,1,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
Archery Headquarters 2024,Rochester,"Forestry, Fishing, Hunting",2/1/2024,NO,-,Closing,Small Layoff Services,50,2024-02,plant-closing-mass-layoff-warn-february-2024_tcm1045-613727.pdf
The Body Shop 2024,Bloomington,Retail,3/1/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
KJ's Hideaway 2024,St Paul,Arts/Entertainment/Rec,3/11/2024,NO,-,Closing,Small Layoff Services,10,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Tori 44 2024,Minneapolis,Dining Establishments,3/1/2024,NO,-,Closing,Small Layoff Services,50,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Mike's Cafe & Pizzeria 2024,Esko,Dining Establishments,3/4/2024,NO,-,Closing,Small Layoff Services,2,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Galactic Pizza 2024,Minneapolis,Dining Establishments,3/5/2024,NO,-,Closing,Small Layoff Services,22,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Woodbury Dental Arts 2024,Woodbury,Health Care/Social Assist,3/1/2024,NO,-,Closing,Small Layoff Services,50,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Ally's in BEMIDJI - 2024,Bemidji,Retail,3/1/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Coconut Whisk Café 2024,Minneapolis,Dining Establishments,3/1/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Northern Foundry 2024,Hibbing,Manufacturing,4/12/2024,YES,3/1/2024,Closing,Small Layoff Services,91,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
McCoy's Public House Restaurant 2024,St Louis Park,Dining Establishments,3/1/2024,NO,-,Closing,Small Layoff Services,38,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Momento Restaurant + Bar 2024,St Paul,Professional Services,3/1/2024,NO,-,Closing,Small Layoff Services,19,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Cafe Astoria,St Paul,Dining Establishments,3/18/2024,NO,-,Closing,Small Layoff Services,20,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
"Thai Pepper, West St.Paul 2024",St Paul,Dining Establishments,3/22/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
4th Street Saloon 2024,Minneapolis,Arts/Entertainment/Rec,3/18/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Family Dollar Litchfield 2024,Litchfield,Retail,3/29/2024,NO,-,Closing,Small Layoff Services,25,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Vegan East Cafe Lyndale site - 2024,Minneapolis,Dining Establishments,3/15/2024,NO,-,Closing,Small Layoff Services,1,2024-03,plant-closing-mass-layoff-warn-march-2024_tcm1045-620053.pdf
Aramark at General Mills 2024,Golden Valley,Manufacturing,5/31/2024,YES,4/4/2024,Workforce Reduction,Aversion/Retention,56,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Salvation Army thrift store - 2024,Austin,Admin & Support Services,4/1/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
"Fool Me Once bar, 2024.",Minneapolis,Dining Establishments,4/29/2024,NO,-,Closing,Small Layoff Services,8,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Proper 2024,Minneapolis,Retail,4/18/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Express - St. Cloud 2024,St Cloud,Retail,4/1/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
UpWest - 2024,Bloomington,Retail,4/1/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Hark! Cafe 2024,Minneapolis,Dining Establishments,4/1/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Volunteer Braille Services 2024,Golden Valley,Admin & Support Services,4/25/2024,NO,-,Closing,Small Layoff Services,2,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Ramen Shoten 2024,Minneapolis,Dining Establishments,4/1/2024,NO,-,Closing,Small Layoff Services,1,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Haarslev Inc 2024,Perham,Manufacturing,-,NO,-,Closing,TAA Investigation,6,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Ie - Italian Eatery and Un Dito 2024,Minneapolis,Dining Establishments,4/24/2024,NO,-,Closing,Small Layoff Services,53,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
A & Dubs,Duluth,Dining Establishments,4/11/2024,NO,-,Closing,Small Layoff Services,7,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Timber Valley Grille,Milaca,Dining Establishments,3/1/2024,NO,-,Closing,Small Layoff Services,20,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
SW News Media 2024,Savage,Other Services,4/1/2024,NO,-,Closing,Small Layoff Services,20,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Anytime Fitness - Barnesville,Barnesville,Health Care/Social Assist,4/1/2024,NO,-,Closing,Small Layoff Services,5,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Crafts Direct,Waite Park,Retail,4/1/2024,NO,-,Closing,Small Layoff Services,50,2024-04,plant-closing-mass-layoff-warn-april-2024_tcm1045-623664.pdf
Rue 21 2024,Warrendale,Retail,5/1/2024,NO,-,Closing,Small Layoff Services,144,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Carbone's Pizza Inc Rochester,St Paul,Dining Establishments,5/1/2024,NO,-,Closing,Rapid Response in Progress,50,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Yelloh! 2024,Marshall,Manufacturing,7/27/2024,YES,5/30/2024,Workforce Reduction,Rapid Response in Progress,44,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Taco John's,Marshall,Dining Establishments,5/2/2024,NO,-,Closing,Small Layoff Services,20,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Taco John's,Worthington,Dining Establishments,5/2/2024,NO,-,Closing,Small Layoff Services,200,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Wuollet Bakery,Wayzata,Manufacturing,5/1/2024,NO,-,Closing,Small Layoff Services,1,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Nortech Systems,Blue Earth,Manufacturing,8/1/2024,YES,5/16/2024,Closing,Rapid Response in Progress,59,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Daddy-O's Cafe 2024,Elk River,Dining Establishments,5/16/2024,NO,-,Closing,Small Layoff Services,20,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Cavallin Ford 2024,Pine City,Retail,5/24/2024,NO,-,Closing,Small Layoff Services,6,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
BRP Marine US,St Peter,Manufacturing,5/23/2024,YES,5/23/2024,Workforce Reduction,Rapid Response in Progress,106,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Nordson Medical 2024 2nd,Brooklyn Park,Manufacturing,10/1/2024,YES,5/29/2024,Closing,Existing Project,36,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
El Loro Mexican Restaurant,Savage,Dining Establishments,5/1/2024,NO,-,Closing,Small Layoff Services,50,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Protagonist Kitchen and Bar,Richfield,Dining Establishments,5/1/2024,NO,-,Closing,Small Layoff Services,2,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Caribou Coffee 2024,Brooklyn Park,Dining Establishments,5/1/2024,NO,-,Closing,Suspend/Hold,-,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Green-n-Fresh 2024,Rochester,Dining Establishments,5/1/2024,NO,-,Closing,Small Layoff Services,1,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Copeland 2024,Eden Prairie,Manufacturing,6/30/2024,YES,5/1/2024,Closing,Rapid Response in Progress,91,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Alphonsus Catholic School,Brooklyn Center,Education,5/31/2024,NO,-,Closing,Small Layoff Services,15,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Dorothy Day House - 2024,Moorhead,Admin & Support Services,5/1/2024,NO,-,Closing,Small Layoff Services,2,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Major Metro at Target Stores,Minneapolis,Retail,6/1/2024,YES,5/8/2024,Closing,Small Layoff Services,75,2024-05,plant-closing-mass-layoff-warn-may-2024_tcm1045-626353.pdf
Litin’s Party Value,Minneapolis,Other Services,6/6/2024,NO,-,Closing,Rapid Response in Progress,1,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Alamo Drafthouse Cinema 2024,Woodbury,Arts/Entertainment/Rec,6/1/2024,NO,-,Closing,Small Layoff Services,15,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Charter Communications 2024,Rochester,Utilities,8/15/2024,NO,-,Closing,Rapid Response in Progress,330,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Red Lobster Golden Valley 2024,Golden Valley,Dining Establishments,5/1/2024,NO,-,Closing,Small Layoff Services,1,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Trade Winds Boutique 2024,St Paul,Retail,6/1/2024,NO,-,Closing,Small Layoff Services,5,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Red Lobster Bloomington 2024,Bloomington,Dining Establishments,5/1/2024,NO,-,Closing,Small Layoff Services,1,2024-06,plant-closing-mass-layoff-warn-june-2024_tcm1045-631384.pdf
Eli's Food & Cocktails 2024,Minneapolis,Dining Establishments,6/30/2024,NO,-,Closing,Small Layoff Services,5,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
She Said Butcher Shop 2024,Moorhead,Retail,7/8/2024,NO,-,Closing,Small Layoff Services,1,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Camping World Madelia,Lincolnshire,Retail,7/8/2024,NO,-,Closing,Small Layoff Services,20,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Rich Products Corporation,Fridley,Manufacturing,9/13/2024,NO,7/17/2024,Closing,Small Layoff Services,170,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Coolibar 2024,St Louis Park,Manufacturing,7/9/2024,NO,-,Closing,Small Layoff Services,1,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Thai Basil Stillwater 2024,Stillwater,Dining Establishments,7/7/2024,NO,-,Closing,Small Layoff Services,1,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Primp Boutique Rochester,Rochester,Retail,7/11/2024,NO,-,Closing,Small Layoff Services,1,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
The Camden Collective 2024,Minneapolis,Health Care/Social Assist,6/29/2024,NO,-,Closing,Small Layoff Services,1,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Syntegon 2024,Minneapolis,Manufacturing,7/24/2024,NO,-,Closing,Small Layoff Services,15,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
EQ 2024,Mendota Heights,Admin & Support Services,9/30/2024,YES,7/12/2024,Workforce Reduction,Small Layoff Services,55,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Dunham's Bar,St Paul,Dining Establishments,8/25/2024,NO,-,Closing,Small Layoff Services,10,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Brainerd Dispatch 2024,Brainerd,Manufacturing,9/30/2024,NO,-,Closing,Small Layoff Services,21,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Herman's Bakery & Deli 2024,Cambridge,Manufacturing,7/31/2024,NO,-,Closing,Small Layoff Services,5,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Finnegans Taproom 2024,Minneapolis,Manufacturing,8/31/2024,NO,-,Closing,Small Layoff Services,8,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
Rainbow Health,Minneapolis,Health Care/Social Assist,7/18/2024,NO,-,Closing,Small Layoff Services,55,2024-07,plant-closing-mass-layoff-warn-july-2024_tcm1045-640980.pdf
